grade_band,weekday_affinity,semantic_group,proposed_question_family,question_text,gate_type,yes_follow_up_intents,no_branch_direction,recommended_cooldown_days,time_of_day,rapport_weight,existing_similar_question_ids,duplicate_risk,why_needed,status
초1~2,thu,DAILY_LIFE,WEEKEND_EXPECTATION,내일 학교 끝나면 신나는 일이 기다리고 있어?,GATE,어떤 일인지;누구와 함께하는지,집에서 편하게 쉴 계획인지 공감,7,evening,2,6af94599-7ac8-cf54-0acb-32c23838590a,MEDIUM,목요일 저녁 금요일 하교 후 일정 및 주말 전야 기대감 확인,NEW_QUESTION
초1~2,thu,SCHOOL_EXPERIENCE,ACADEMY_TODAY,오늘 방과후나 학원에서 재미있는 활동 했어?,GATE,어떤 활동이었는지;가장 재미있었던 점,집에서 한 자유 놀이나 편안한 휴식으로 전환,7,afternoon,1,,LOW,목요일 방과후/학원 특화 생활 맥락 질문 (Gate형),NEW_QUESTION
초1~2,thu,MEAL_AND_TASTE,FOOD_TODAY,오늘 급식이나 간식에 맛있는 거 나왔어?,GATE,어떤 메뉴였는지;맛있게 다 먹었는지 칭찬,저녁에 먹고 싶은 좋아하는 반찬이나 간식으로 전환,7,afternoon,1,,LOW,초1~2 목요일 학교 급식 및 하교 후 간식 생활 맥락 질문,NEW_QUESTION
초1~2,thu,PEER_CONNECTION,FRIEND_PLAY,오늘 학교에서 친구랑 무슨 놀이 하고 놀았어?,OPEN,놀이 규칙이나 재미있었던 순간;누구와 함께했는지,혼자서 책을 읽거나 재미있게 보낸 활동으로 전환,7,afternoon,2,6e330beb-1bb3-f14f-f2e2-97923c3ce292,MEDIUM,목요일 학교 내 또래 놀이 활동 구체적 확인,NEW_QUESTION
초1~2,thu,PHYSICAL_STATE,MOOD_TODAY,오늘 하루 보내면서 다리가 아프거나 힘들진 않았어?,GATE,언제 힘들었는지;지금 편하게 쉬고 있는지 다정한 공감,오늘 씩씩하게 활동한 이야기로 전환,7,evening,2,,LOW,목요일 주 후반 누적 신체 피로도 점검 및 정서적 위로,NEW_QUESTION
초1~2,thu,TEACHER_RELATIONSHIP,SCHOOL_HIGHLIGHT,오늘 선생님이 재미있는 이야기나 수업을 해주셨어?,GATE,어떤 이야기였는지;기억에 남는 장면,친구들과 함께한 시간이나 자유시간 이야기로 전환,7,afternoon,2,,LOW,목요일 담임 교사와의 긍정적 수업 및 이야기 경험 확인,NEW_QUESTION
초1~2,thu,DAILY_LIFE,WEEKEND_EXPECTATION,내일이 금요일인 거 알고 있어?,GATE,금요일에 기대되는 일;주말 기분 공감,내일 하루만 더 보내면 주말이라는 다정한 응원,7,evening,2,,LOW,목요일 저녁 주말 카운트다운 및 금요일 기대감 형성,NEW_QUESTION
초1~2,thu,HOBBY_AND_CREATION,SCHOOL_HIGHLIGHT,오늘 수업 시간에 책이나 공책에 재미있는 거 그렸어?,GATE,무엇을 그렸는지;어떤 색을 썼는지 칭찬,손으로 만들거나 글씨 쓴 다른 활동으로 전환,7,afternoon,1,365d0a2b-2b81-b6b6-c23e-a6750ba3f09b,MEDIUM,초1~2 미술/활동 수업 및 끄적거리기 창의 활동 확인,NEW_QUESTION
초1~2,fri,ACHIEVEMENT,SCHOOL_HIGHLIGHT,이번 주에 스스로 해낸 일 중 제일 뿌듯한 건 뭐야?,OPEN,어떤 일이었는지;스스로 해냈을 때의 기분 칭찬,이번 주에 재미있게 보낸 일상으로 전환,14,afternoon,2,31036b3d-5c6b-e9be-5747-31f3853ff597,LOW,기존 금요일 승인 질문 유지 (한 주 스스로 성취 회고),REUSE_EXISTING
초1~2,fri,ACHIEVEMENT,SCHOOL_HIGHLIGHT,오늘 선생님이 칭찬해준 일이 있었어?,GATE,어떤 일로 칭찬받았는지;기분이 어땠는지 확인,스스로 생각하기에 잘한 일 이야기로 전환,7,afternoon,2,59e4894b-7ef1-e80c-a409-ef3995156857,LOW,기존 금요일 승인 질문 유지 (금요일 학교 칭찬 경험),REUSE_EXISTING
초1~2,fri,DAILY_LIFE,WEEKEND_EXPECTATION,내일 누구랑 놀고 싶어?,OPEN,그 사람과 하고 싶은 놀이;주말 기대감,혼자서 편안하게 즐기고 싶은 놀이로 전환,7,evening,2,0b0dca1f-3c79-abd7-3547-4142a0dc30eb,LOW,기존 미지정 질문에 weekday_affinity fri 추가 (토요일 놀이 파트너 기대),REUSE_EXISTING
초1~2,fri,FAMILY_RELATIONSHIP,WEEKEND_EXPECTATION,내일 가족과 같이 하고 싶은 게 있어?,GATE,어떤 활동인지;가족과 나눌 즐거움 공감,집에서 혼자 즐길 자유시간 놀이로 전환,7,evening,2,15db33fd-706b-52cd-fed5-78d30479d807,LOW,기존 sat 전용 질문에 weekday_affinity fri 추가 (금요일 저녁 주말 가족 활동 계획),REUSE_EXISTING
초1~2,fri,PEER_CONNECTION,FRIEND_PLAY,이번 주 친구랑 제일 재미있었던 놀이는 뭐야?,OPEN,어떤 놀이였는지;어떤 친구와 했는지,혼자서 가장 재미있게 한 놀이로 전환,14,afternoon,2,259a03b6-e6d1-c0f8-aa22-a6b0532a1b42,LOW,기존 tue 전용 질문에 weekday_affinity fri 추가 (주간 친구 놀이 회고),REUSE_EXISTING
초1~2,fri,SCHOOL_EXPERIENCE,SCHOOL_HIGHLIGHT,이번 주 학교에서 제일 재미있었던 건 뭐야?,OPEN,어떤 수업이나 순간이었는지;어떤 점이 좋았는지,하교 후나 주말에 재미있게 보낼 일로 전환,14,afternoon,2,0c20c7b8-29e6-f2ad-1830-cbcb485013cb,LOW,기존 mon 전용 질문에 weekday_affinity fri 추가 (금요일 주간 학교생활 하이라이트),REUSE_EXISTING
초1~2,fri,DIGITAL_CONTENT,VIDEO_TODAY,요즘 재미있게 보는 만화나 영상이 있어?,GATE,어떤 만화/영상인지;가장 재미있는 캐릭터나 장면,직접 몸으로 하거나 손으로 만드는 놀이로 전환,7,evening,1,e3df1283-a841-cb53-f652-079f54c95d3f,LOW,기존 wed 전용 질문에 weekday_affinity fri 추가 (금요일 저녁 콘텐츠 시청 기대),REUSE_EXISTING
초1~2,fri,DAILY_LIFE,WEEKEND_EXPECTATION,"내일부터 주말인데, 이번 주말에 하고 싶은 놀이 있어?",GATE,어떤 놀이인지;누구랑 하고 싶은지,집에서 편하게 쉬거나 만화 보는 계획으로 전환,7,afternoon,2,,LOW,금요일 하교 후 주말 기대감 및 주말 놀이 계획 확인,NEW_QUESTION
초1~2,fri,EMOTIONAL_EXPERIENCE,SCHOOL_HIGHLIGHT,이번 주에 학교나 집에서 엄청 웃겼던 일 있었어?,GATE,누가 어떤 말을 해서 웃겼는지;즐거운 기억 공유,마음이 따뜻했거나 기분 좋았던 순간으로 전환,14,afternoon,2,,LOW,금요일 주간 긍정 정서 회고 (웃긴 일 나눔),NEW_QUESTION
초1~2,fri,MEAL_AND_TASTE,FOOD_TODAY,오늘 금요일 저녁에 맛있는 거 먹을 계획 있어?,GATE,어떤 메뉴인지;가장 기대되는 음식 이야기,평소 좋아하는 음식이나 주말에 먹고 싶은 간식으로 전환,7,evening,1,,LOW,금요일 저녁 특식/외식 생활 맥락 질문,NEW_QUESTION
초1~2,fri,DAILY_LIFE,OUTING_TODAY,이번 주말에 가족이나 친구랑 어디 놀러 갈 계획 있어?,GATE,어디로 가는지;가서 무엇을 할 계획인지,집에서 편하게 보내는 홈캉스/휴식 계획으로 전환,7,evening,2,,LOW,주말 외출/나들이 계획 확인 (금요일 저녁 특화),NEW_QUESTION
초1~2,fri,EMOTIONAL_EXPERIENCE,MOOD_TODAY,오늘 학교 끝나고 집에 올 때 기분이 신났어?,GATE,왜 신났는지;주말 시작의 설렘 공감,조금 지쳤거나 아쉬웠던 점이 있었는지 다정한 공감,7,afternoon,2,,LOW,금요일 하교 순간의 해방감과 기분 점검,NEW_QUESTION
초1~2,fri,DIGITAL_CONTENT,GAME_TODAY,오늘 저녁에 재미있는 게임이나 만화 볼 계획 있어?,GATE,어떤 게임이나 만화인지;누구와 함께하는지,다른 장난감 놀이나 일찍 푹 자는 휴식으로 전환,7,evening,1,,LOW,금요일 저녁 자유시간 미디어/게임 활동 계획 확인 (Gate형),NEW_QUESTION
초1~2,fri,DAILY_LIFE,WEEKEND_EXPECTATION,내일 아침에는 알람 없이 늦잠 잘 수 있어?,GATE,푹 자고 일어나서 제일 먼저 하고 싶은 일,내일 아침 일찍 있는 일정이나 기분 확인,7,evening,1,,LOW,주말 전야 늦잠 및 여유로운 아침 기대감 확인,NEW_QUESTION
초1~2,fri,PEER_CONNECTION,FRIEND_PLAY,이번 주말에 친구랑 만나서 놀기로 약속했어?,GATE,어떤 친구와 무슨 놀이를 하기로 했는지,가족과 보내는 시간이나 혼자만의 재미있는 놀이로 전환,7,afternoon,2,,LOW,주말 또래 약속 여부 확인 (Gate형),NEW_QUESTION
초1~2,fri,PEER_CONNECTION,FRIEND_PLAY,이번 주에 새로 사귄 친구나 더 친해진 친구가 있어?,GATE,그 친구와 어떤 이야기를 나누었는지;기분 칭찬,늘 함께하는 단짝 친구와의 즐거운 추억으로 전환,14,afternoon,2,,LOW,주간 교우 관계 확장 및 친밀도 회고,NEW_QUESTION
초1~2,fri,PEER_CONNECTION,FRIEND_PLAY,오늘 학교 끝나고 친구랑 인사할 때 주말 잘 보내라고 했어?,GATE,어떤 친구에게 인사했는지;주말 기대감 나눔,다음 주 월요일에 다시 만날 친구에게 건넬 인사로 전환,7,afternoon,1,,LOW,금요일 하교 인사 및 주말 인사 생활 맥락,NEW_QUESTION
초1~2,fri,LEARNING_AND_STUDY,SCHOOL_HIGHLIGHT,이번 주에 다 쓴 알림장이나 교과서 가방에서 잘 꺼내뒀어?,GATE,스스로 정리한 깔끔한 기분 칭찬,주말 동안 천천히 챙기면 된다는 다정한 격려,7,evening,1,,LOW,금요일 하교 후 주간 학습물/가방 정리 생활습관 확인,NEW_QUESTION
초3~4,sat,DIGITAL_CONTENT,GAME_TODAY,오늘 집에서 게임이나 유튜브 같은 재미있는 영상 본 거 있어?,GATE,어떤게임/영상인지;누구와함께했는지;가장재미있었던장면,외출이나나들이활동확인;보드게임이나다른놀이이야기,2,afternoon,2,175a9729-56cc-3ef8-a323-9c6551516cb5,LOW,토요일 대표 여가 활동인 게임 및 영상 시청 경험을 확인하는 Gate 질문,NEW_QUESTION
초3~4,sat,DIGITAL_CONTENT,VIDEO_TODAY,오늘 새로 보거나 요즘 푹 빠져서 챙겨보는 영상이나 만화가 있어?,GATE,영상/만화제목;등장인물이나스토리;재미있는이유공감,좋아하는게임이나다른취미확인;오늘주요활동질문,3,afternoon,2,4fdbfa80-6b05-2a3a-da08-504156479955,LOW,토요일 여유 시간에 즐기는 애니메이션·웹툰·영상 취향 확인 질문,NEW_QUESTION
